RECORDID,DAM_NAME,OTHER_DAM_NAME,DAM_FORMER_NAME,STATEID,NIDID,LONGITUDE,LATITUDE,SECTION,COUNTY,RIVER,CITY,DISTANCE,OWNER_NAME,OWNER_TYPE,DAM_DESIGNER,PRIVATE_DAM,DAM_TYPE,CORE,FOUNDATION,PURPOSES,YEAR_COMPLETED,YEAR_MODIFIED,DAM_LENGTH,DAM_HEIGHT,STRUCTURAL_HEIGHT,HYDRAULIC_HEIGHT,NID_HEIGHT,MAX_DISCHARGE,MAX_STORAGE,NORMAL_STORAGE,NID_STORAGE,SURFACE_AREA,DRAINAGE_AREA,HAZARD,EAP,INSPECTION_DATE,INSPECTION_FREQUENCY,STATE_REG_DAM,STATE_REG_AGENCY,SPILLWAY_TYPE,SPILLWAY_WIDTH,OUTLET_GATES,VOLUME,NUMBER_OF_LOCKS,LENGTH_OF_LOCKS,WIDTH_OF_LOCKS,FED_FUNDING,FED_DESIGN,FED_CONSTRUCTION,FED_REGULATORY,FED_INSPECTION,FED_OPERATION,FED_OWNER,FED_OTHER,SOURCE_AGENCY,STATE,SUBMIT_DATE,URL_ADDRESS,CONG_NAME,PARTY,CONG_DIST,OTHERSTRUCTUREID,NUMSEPARATESTRUCTURES,PERMITTINGAUTHORITY,INSPECTIONAUTHORITY,ENFORCEMENTAUTHORITY,JURISDICTIONALDAM,EAP_LAST_REV_DATE
4011,MENDOCINO MIDDLE,,,,CA00001,-123.1355,39.131,,MENDOCINO,MIDDLE CREEK,2,2,COUNTY OF MENDOCINO,L,,N,PG,X,R,CS,1908,,119,39,0,35.7,39,0,0,27,27,2,3.75,S,N,9/7/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,0,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Jared Huffman (D),D,CA02,,0,Y,Y,Y,Y,
4012,MENDOCINO 3 UPPER,,,,CA00002,-123.1302,39.1274,,MENDOCINO,MIDDLE CREEK,2.3,2.3,COUNTY OF MENDOCINO,L,,N,PG,X,R,CS,1915,,254,49,0,48,49,0,0,85,85,5,3.2,S,N,9/7/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,0,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Jared Huffman (D),D,CA02,,0,Y,Y,Y,Y,
4013,"CAMILLE, LAKE",,,,CA00003,-122.2525,38.2775,,NAPA,TR TULUCAY CR,1,1,NAPA STATE HOSPITAL,S,,N,RE,X,S,RS,1880,,600,30,0,28.3,30,0,0,47,47,3,0.1,S,Y,11/30/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,22000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Mike Thompson (D),D,CA05,,0,Y,Y,Y,Y,12-DEC-15
4014,"MARIE, LAKE",,,,CA00004,-122.2293,38.2598,,NAPA,TR TULUCAY CR,2.4,2.4,NAPA STATE HOSPITAL,S,,N,RE,X,RS,S,1908,,454,60,0,36,60,0,0,170,170,8,1.06,H,Y,11/30/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,75000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Mike Thompson (D),D,CA05,,0,Y,Y,Y,Y,12-DEC-15
4015,HENDERSON,,,,CA00005,-120.8771,38.3856,,AMADOR,JACKASS CREEK,4.5,4.5,AMADOR REGIONAL SANITATION AUTHORITY,U,,N,RE,X,R,CS,1923,,630,56,0,53,56,0,0,500,500,31,1,H,N,8/3/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,70000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,Y,Y,Y,Y,
4016,PRESTON FOREBAY,,,,CA00006,-120.9233,38.3754,,AMADOR,OFFSTREAM,1.5,1.5,AMADOR REGIONAL SANITATION AUTHORITY,U,,N,RE,X,S,COS,1892,,176,40,0,36,40,0,0,30,30,2,0,L,N,8/3/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,22400,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,Y,Y,Y,Y,
4017,FERN LAKE,,,,CA00007,-122.5311,38.3431,,SONOMA,TR MILL CREEK,4.7,4.7,SONOMA DEVELOPMENTAL CENTER,S,,N,RE,X,S,S,1921,,300,40,0,36,40,0,0,241,241,14,0.25,H,Y,7/13/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,0,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Mike Thompson (D),D,CA05,,0,Y,Y,Y,Y,
4018,VETERANS HOME,"HINMAN, LAKE",,,CA00008,-122.3784,38.3918,,NAPA,TR NAPA RIVER,1.5,1.5,CALIFORNIA DEPARTMENT OF VETERAN AFFAIRS,S,,N,RE,X,R,RS,1908,,320,47,0,43.5,47,0,0,39,39,2,0.28,H,N,10/21/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,0,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Mike Thompson (D),D,CA05,,0,Y,Y,Y,Y,
4019,MOUNT STONEMAN,,,,CA00009,-121.153,38.699,,SACRAMENTO,TR AMERICAN RV,,0,CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION,S,,N,RE,X,R,S,1937,,420,43,0,40,43,0,0,33,33,2,0.02,L,N,2/21/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,24000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Ami Bera (D),D,CA07,,0,Y,Y,Y,Y,
4020,SUTTENFIELD,,,,CA00010,-122.5185,38.3548,,SONOMA,SONOMA CREEK,3.3,3.3,SONOMA DEVELOPMENTAL CENTER,S,,N,RE,X,R,S,1938,,965,76,0,70,76,0,0,600,600,24,0.12,H,Y,7/13/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,239184,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Mike Thompson (D),D,CA05,,0,Y,Y,Y,Y,
4021,RECTOR CREEK,,,,CA00011,-122.3454,38.4434,,NAPA,RECTOR CREEK,4,4,CALIFORNIA DEPARTMENT OF VETERAN AFFAIRS,S,,N,RE,X,R,S,1946,,890,164,0,155,164,0,0,4587,4587,82,10.7,H,N,9/21/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,1339500,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Mike Thompson (D),D,CA05,,0,Y,Y,Y,Y,
4022,PRESTON,,,,CA00012,-120.9398,38.3698,"S24,T 6N,R 9E,MD",AMADOR,TR MULE CREEK,0.5,,AMADOR REGIONAL SANITATION AUTHORITY,U,USDA NRCS,N,RE,X,R,CS,1949,,647,40,0,35,40,0,0,268,268,17,0.12,H,N,8/3/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,86519,0,0,0,,USDA NRCS,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,Y,Y,Y,Y,
4023,SEMPERVIRENS,,,,CA00013,-122.2089,37.1896,,SANTA CRUZ,SEMPERVIRENS CREEK,,0,CALIFORNIA DEPARTMENT OF PARKS AND RECREATION,S,,N,RE,X,R,CS,1951,,260,42,0,34,42,0,0,78,78,4,0.36,S,Y,3/1/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,46572,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Anna G. Eshoo (D),D,CA18,,0,Y,Y,Y,Y,
4024,LOWER BUCK LAKE,BUCK LAKES,,,CA00015,-119.747,38.153,,TUOLUMNE,BUCK MEADOW CR,,0,U.S. FOREST SERVICE,F,,N,PG,X,U,RS,1931,,46,9,0,9,9,0,0,360,360,48,5.8,U,N,,0,N,,U,0,,153,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,N,N,N,N,
4025,BIGELOW LAKE,,,,CA00016,-119.64,38.157,,TUOLUMNE,EFK CHERRY CR,,0,U.S. FOREST SERVICE,F,,N,PG,X,U,RS,1931,,85,10,0,8.4,10,0,0,470,470,55,0.6,U,N,,0,N,,U,0,,356,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,N,N,N,N,
4026,HIGH EMIGRANT LAKE,,,,CA00017,-119.632,38.208,,TUOLUMNE,NFK CHERRY CR,,0,U.S. FOREST SERVICE,F,,N,PG,X,U,RS,,,56,8,0,6.7,8,0,0,67,67,9,0.5,U,N,,0,N,,U,0,,64,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,N,N,N,N,
4027,ROUND LAKE,,,,CA00020,-120.007,38.753,,EL DORADO,U TRUCKEE RIVER,,0,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,F,,N,PG,X,U,RS,1955,,44,9,0,8.1,9,0,0,300,300,41,0,U,N,,0,N,,U,0,,134,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,N,N,N,N,
4028,PENNSYLVANIA CREEK,,,,CA00023,-122.0663,38.2616,,SOLANO,PENNSYLVANIA CR,,0,CITY OF FAIRFIELD,L,,N,RE,X,S,C,1958,,3100,14,0,10,14,0,0,148,148,35,1.77,H,Y,10/18/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,35000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,John Garamendi (D),D,CA03,,0,Y,Y,Y,Y,29-JUL-16
4029,FINNON LAKE,,,,CA00024,-120.7527,38.7978,,EL DORADO,JAY BIRD CREEK,13,13,MOSQUITO VOLUNTEER FIRE DEPARTMENT,U,,N,RE,X,S,RS,2012,,830,46,0,41,46,0,0,400,400,35,0.27,S,N,3/13/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,104059,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,Y,Y,Y,Y,
