country,capital
Aruba,Oranjestad
Afghanistan,Kabul
Angola,Luanda
Albania,Tirane
Andorra,Andorra la Vella
United Arab Emirates,Abu Dhabi
Argentina,Buenos Aires
Armenia,Yerevan
American Samoa,Pago Pago
Antigua and Barbuda,Saint John's
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Burundi,Bujumbura
Belgium,Brussels
Benin,Porto-Novo
Burkina Faso,Ouagadougou
Bangladesh,Dhaka
Bulgaria,Sofia
Bahrain,Manama
"Bahamas, The",Nassau
Bosnia and Herzegovina,Sarajevo
Belarus,Minsk
Belize,Belmopan
Bermuda,Hamilton
Bolivia,La Paz
Brazil,Brasilia
Barbados,Bridgetown
Brunei Darussalam,Bandar Seri Begawan
Bhutan,Thimphu
Botswana,Gaborone
Central African Republic,Bangui
Canada,Ottawa
Switzerland,Bern
Chile,Santiago
China,Beijing
Cote d'Ivoire,Yamoussoukro
Cameroon,Yaounde
"Congo, Dem. Rep.",Kinshasa
"Congo, Rep.",Brazzaville
Colombia,Bogota
Comoros,Moroni
Cabo Verde,Praia
Costa Rica,San Jose
Cuba,Havana
Curacao,Willemstad
Cayman Islands,George Town
Cyprus,Nicosia
Czech Republic,Prague
Germany,Berlin
Djibouti,Djibouti
Dominica,Roseau
Denmark,Copenhagen
Dominican Republic,Santo Domingo
Algeria,Algiers
Ecuador,Quito
"Egypt, Arab Rep.",Cairo
Eritrea,Asmara
Spain,Madrid
Estonia,Tallinn
Ethiopia,Addis Ababa
Finland,Helsinki
Fiji,Suva
France,Paris
Faroe Islands,Torshavn
"Micronesia, Fed. Sts.",Palikir
Gabon,Libreville
United Kingdom,London
Georgia,Tbilisi
Ghana,Accra
Guinea,Conakry
"Gambia, The",Banjul
Guinea-Bissau,Bissau
Equatorial Guinea,Malabo
Greece,Athens
Grenada,Saint George's
Greenland,Nuuk
Guatemala,Guatemala City
Guam,Agana
Guyana,Georgetown
Honduras,Tegucigalpa
Croatia,Zagreb
Haiti,Port-au-Prince
Hungary,Budapest
Indonesia,Jakarta
Isle of Man,Douglas
India,New Delhi
Ireland,Dublin
"Iran, Islamic Rep.",Tehran
Iraq,Baghdad
Iceland,Reykjavik
Italy,Rome
Jamaica,Kingston
Jordan,Amman
Japan,Tokyo
Kazakhstan,Astana
Kenya,Nairobi
Kyrgyz Republic,Bishkek
Cambodia,Phnom Penh
Kiribati,Tarawa
St. Kitts and Nevis,Basseterre
"Korea, Rep.",Seoul
Kuwait,Kuwait City
Lao PDR,Vientiane
Lebanon,Beirut
Liberia,Monrovia
Libya,Tripoli
St. Lucia,Castries
Liechtenstein,Vaduz
Sri Lanka,Colombo
Lesotho,Maseru
Lithuania,Vilnius
Luxembourg,Luxembourg
Latvia,Riga
St. Martin (French part),Marigot
Morocco,Rabat
Monaco,Monaco
Moldova,Chisinau
Madagascar,Antananarivo
Maldives,Male
Mexico,Mexico City
Marshall Islands,Majuro
"Macedonia, FYR",Skopje
Mali,Bamako
Malta,Valletta
Myanmar,Naypyidaw
Montenegro,Podgorica
Mongolia,Ulaanbaatar
Northern Mariana Islands,Saipan
Mozambique,Maputo
Mauritania,Nouakchott
Mauritius,Port Louis
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Namibia,Windhoek
New Caledonia,Noum'ea
Niger,Niamey
Nigeria,Abuja
Nicaragua,Managua
Netherlands,Amsterdam
Norway,Oslo
Nepal,Kathmandu
Nauru,Yaren District
New Zealand,Wellington
Oman,Muscat
Pakistan,Islamabad
Panama,Panama City
Peru,Lima
Philippines,Manila
Palau,Koror
Papua New Guinea,Port Moresby
Poland,Warsaw
Puerto Rico,San Juan
"Korea, Dem. People’s Rep.",Pyongyang
Portugal,Lisbon
Paraguay,Asuncion
French Polynesia,Papeete
Qatar,Doha
Romania,Bucharest
Russian Federation,Moscow
Rwanda,Kigali
Saudi Arabia,Riyadh
Sudan,Khartoum
Senegal,Dakar
Singapore,Singapore
Solomon Islands,Honiara
Sierra Leone,Freetown
El Salvador,San Salvador
San Marino,San Marino
Somalia,Mogadishu
Serbia,Belgrade
South Sudan,Juba
Sao Tome and Principe,Sao Tome
Suriname,Paramaribo
Slovak Republic,Bratislava
Slovenia,Ljubljana
Sweden,Stockholm
Swaziland,Mbabane
Sint Maarten (Dutch part),Philipsburg
Seychelles,Victoria
Syrian Arab Republic,Damascus
Turks and Caicos Islands,Grand Turk
Chad,N'Djamena
Togo,Lome
Thailand,Bangkok
Tajikistan,Dushanbe
Turkmenistan,Ashgabat
Timor-Leste,Dili
Tonga,Nuku'alofa
Trinidad and Tobago,Port-of-Spain
Tunisia,Tunis
Turkey,Ankara
Tuvalu,Funafuti
Tanzania,Dodoma
Uganda,Kampala
Ukraine,Kiev
Uruguay,Montevideo
United States,Washington D.C.
Uzbekistan,Tashkent
St. Vincent and the Grenadines,Kingstown
"Venezuela, RB",Caracas
British Virgin Islands,Road Town
Virgin Islands (U.S.),Charlotte Amalie
Vietnam,Hanoi
Vanuatu,Port-Vila
Samoa,Apia
Kosovo,Pristina
"Yemen, Rep.",Sana'a
South Africa,Pretoria
Zambia,Lusaka
Zimbabwe,Harare
